zipcode,base_total_capacity,new_build_capacity,expansion_capacity,total_after,desert_threshold,is_desert_after
12957,0.0,200.0,0.0,200.0,152.4,False
12958,16.0,200.0,0.0,216.0,123.6,False
129583838,0.0,0.0,0.0,0.0,0.0,False
12959,8.0,100.0,0.0,108.0,93.4,False
12960,16.0,200.0,0.0,216.0,52.5,False
12961,0.0,0.0,0.0,0.0,0.0,False
12962,106.0,400.0,0.0,506.0,260.06666666666666,False
129623817,0.0,0.0,0.0,0.0,0.0,False
12964,0.0,0.0,0.0,0.0,0.0,False
12965,0.0,100.0,0.0,100.0,20.5,False
12966,0.0,400.0,0.0,400.0,355.3,False
12967,0.0,100.0,0.0,100.0,92.9,False
12969,0.0,100.0,0.0,100.0,7.6,False
12970,0.0,100.0,0.0,100.0,7.933333333333334,False
12972,88.0,600.0,0.0,688.0,382.4,False
12973,0.0,100.0,0.0,100.0,10.466666666666665,False
12974,54.0,200.0,0.0,254.0,96.0,False
12975,0.0,100.0,0.0,100.0,6.266666666666667,False
12976,0.0,100.0,0.0,100.0,4.0,False
12977,40.0,0.0,0.0,40.0,0.0,False
12978,0.0,100.0,0.0,100.0,10.0,False
12979,0.0,200.0,0.0,200.0,139.93333333333334,False
129791307,0.0,0.0,0.0,0.0,0.0,False
12980,0.0,100.0,0.0,100.0,30.1,False
12981,134.0,100.0,5.333333333333333,239.33333333333334,131.66666666666666,False
12983,201.0,400.0,0.0,601.0,316.59999999999997,False
12985,40.0,0.0,3.3333333333333335,43.333333333333336,39.9,False
12986,128.0,100.0,0.0,228.0,204.79999999999998,False
12987,0.0,100.0,0.0,100.0,3.5,False
12989,0.0,100.0,0.0,100.0,33.33333333333333,False
12992,16.0,400.0,0.0,416.0,230.1,False
129922325,0.0,0.0,0.0,0.0,0.0,False
129923508,0.0,0.0,0.0,0.0,0.0,False
12993,92.0,0.0,0.0,92.0,52.86666666666666,False
12995,0.0,0.0,0.0,0.0,0.0,False
12996,35.0,100.0,0.0,135.0,96.2,False
12997,0.0,100.0,0.0,100.0,26.0,False
12998,0.0,100.0,0.0,100.0,47.5,False
13020,8.0,100.0,0.0,108.0,6.0,False
13021,1573.0,1200.0,83.33333333333323,2856.333333333333,1717.3333333333333,False
13022,0.0,0.0,0.0,0.0,0.0,False
13024,0.0,0.0,0.0,0.0,0.0,False
13026,0.0,100.0,0.0,100.0,48.73333333333333,False
13027,859.0,2000.0,0.0,2859.0,1920.8666666666668,False
13028,0.0,100.0,0.0,100.0,60.6,False
13029,76.0,800.0,1.3333333333333333,877.3333333333334,514.1999999999999,False
13030,16.0,400.0,0.0,416.0,253.73333333333335,False
13031,286.0,800.0,54.66666666666654,1140.6666666666665,761.3333333333333,False
130311644,0.0,0.0,0.0,0.0,0.0,False
13032,222.0,600.0,0.0,822.0,572.1333333333333,False
13033,195.0,200.0,11.0,406.0,204.13333333333333,False
13034,0.0,200.0,0.0,200.0,104.86666666666667,False
13035,236.0,100.0,0.0,336.0,288.5333333333333,False
13036,238.0,800.0,0.0,1038.0,442.19999999999993,False
13037,163.0,600.0,0.0,763.0,490.8,False
13039,627.0,400.0,99.66666666666666,1126.6666666666667,863.5333333333333,False
13040,0.0,200.0,0.0,200.0,176.0,False
13041,302.0,400.0,0.0,702.0,658.5333333333333,False
13042,0.0,100.0,0.0,100.0,73.13333333333333,False
13043,0.0,0.0,0.0,0.0,0.0,False
13044,79.0,400.0,0.0,479.0,162.66666666666666,False
13045,944.0,400.0,109.33333333333329,1453.3333333333333,1097.3999999999999,False
13051,0.0,0.0,0.0,0.0,0.0,False
13052,0.0,200.0,0.0,200.0,91.2,False
130529725,0.0,0.0,0.0,0.0,0.0,False
13053,186.0,100.0,0.0,286.0,203.53333333333333,False
13054,74.0,100.0,0.0,174.0,71.46666666666665,False
13056,0.0,0.0,0.0,0.0,0.0,False
13057,655.0,0.0,90.33333333333334,745.3333333333334,541.8666666666666,False
13060,61.0,400.0,0.0,461.0,140.93333333333334,False
13061,0.0,100.0,0.0,100.0,30.5,False
13062,0.0,100.0,0.0,100.0,8.666666666666666,False
13063,56.0,100.0,0.0,156.0,40.599999999999994,False
13064,0.0,0.0,0.0,0.0,0.0,False
13065,0.0,100.0,0.0,100.0,16.93333333333333,False
13066,378.0,800.0,11.666666666666666,1189.6666666666667,632.9333333333333,False
13068,129.0,200.0,4.0,333.0,195.46666666666664,False
13069,563.0,1600.0,44.66666666666656,2207.6666666666665,1863.4,False
13071,16.0,100.0,0.0,116.0,52.39999999999999,False
13072,0.0,100.0,0.0,100.0,43.4,False
13073,107.0,800.0,0.0,907.0,403.9333333333333,False
130731124,0.0,0.0,0.0,0.0,0.0,False
13074,40.0,400.0,0.0,440.0,322.2,False
13076,16.0,200.0,0.0,216.0,134.2,False
13077,116.0,400.0,0.0,516.0,266.46666666666664,False
13078,24.0,800.0,0.0,824.0,604.8,False
13080,24.0,400.0,0.0,424.0,146.86666666666667,False
13081,0.0,100.0,0.0,100.0,51.73333333333333,False
13082,0.0,400.0,0.0,400.0,240.2,False
13083,0.0,200.0,0.0,200.0,124.6,False
13084,56.0,200.0,0.0,256.0,235.8,False
130849609,0.0,0.0,0.0,0.0,0.0,False
13087,0.0,100.0,0.0,100.0,2.333333333333333,False
13088,692.0,400.0,134.99999999999994,1227.0,829.0666666666666,False
130886232,0.0,0.0,0.0,0.0,0.0,False
13089,0.0,0.0,0.0,0.0,0.0,False
13090,1099.0,1200.0,149.33333333333331,2448.3333333333335,1478.5333333333333,False
130901322,0.0,0.0,0.0,0.0,0.0,False
13092,8.0,300.0,0.0,308.0,196.06666666666666,False
13093,0.0,0.0,0.0,0.0,0.0,False
13101,64.0,200.0,0.0,264.0,260.9,False
13102,0.0,0.0,0.0,0.0,0.0,False
13103,0.0,100.0,0.0,100.0,10.1,False
13104,518.0,400.0,0.3333333333333333,918.3333333333334,841.8666666666666,False
13107,0.0,0.0,0.0,0.0,0.0,False
13108,149.0,100.0,3.6666666666666665,252.66666666666666,223.86666666666667,False
13110,0.0,200.0,0.0,200.0,91.93333333333334,False
13111,0.0,200.0,0.0,200.0,200.0,False
13112,8.0,200.0,0.0,208.0,113.39999999999999,False
13113,0.0,0.0,0.0,0.0,0.0,False
13114,97.0,400.0,4.666666666666667,501.6666666666667,357.06666666666666,False
13115,0.0,100.0,0.0,100.0,15.266666666666666,False
13116,112.0,100.0,0.0,212.0,170.66666666666666,False
13117,0.0,100.0,0.0,100.0,15.4,False
13118,61.0,200.0,0.0,261.0,224.59999999999997,False
131182310,0.0,0.0,0.0,0.0,0.0,False
13119,0.0,0.0,0.0,0.0,0.0,False
13120,44.0,200.0,0.0,244.0,138.3,False
13121,0.0,0.0,0.0,0.0,0.0,False
13122,0.0,100.0,0.0,100.0,27.8,False
13123,0.0,0.0,0.0,0.0,0.0,False
13124,0.0,100.0,0.0,100.0,3.6,False
13126,629.0,1600.0,0.0,2229.0,1561.5333333333333,False
13131,8.0,300.0,0.0,308.0,139.73333333333332,False
13132,8.0,200.0,0.0,208.0,130.6,False
13134,0.0,100.0,0.0,100.0,0.19999999999999998,False
13135,158.0,600.0,8.666666666666666,766.6666666666666,366.1333333333333,False
131352116,0.0,0.0,0.0,0.0,0.0,False
13136,0.0,100.0,0.0,100.0,40.1,False
13137,0.0,0.0,0.0,0.0,0.0,False
13138,0.0,100.0,0.0,100.0,4.6,False
13139,0.0,0.0,0.0,0.0,0.0,False
13140,0.0,400.0,0.0,400.0,279.6,False
13141,0.0,100.0,0.0,100.0,38.599999999999994,False
13142,40.0,400.0,0.0,440.0,230.79999999999998,False
131422124,0.0,0.0,0.0,0.0,0.0,False
13143,0.0,400.0,0.0,400.0,270.9,False
131430207,0.0,0.0,0.0,0.0,0.0,False
13144,0.0,200.0,0.0,200.0,127.4,False
13145,66.0,200.0,0.0,266.0,147.0,False
13146,8.0,200.0,0.0,208.0,184.1,False
131469710,0.0,0.0,0.0,0.0,0.0,False
13147,0.0,100.0,0.0,100.0,39.0,False
13148,235.0,500.0,0.0,735.0,707.3,False
13152,210.0,400.0,0.0,610.0,349.73333333333335,False
13153,8.0,100.0,0.0,108.0,42.33333333333333,False
13154,0.0,0.0,0.0,0.0,0.0,False
13155,10.0,100.0,0.0,110.0,36.2,False
13156,0.0,200.0,0.0,200.0,74.0,False
13157,0.0,100.0,0.0,100.0,20.666666666666664,False
13158,0.0,100.0,0.0,100.0,58.0,False
13159,146.0,400.0,0.0,546.0,233.26666666666665,False
13160,26.0,200.0,0.0,226.0,126.13333333333333,False
13162,0.0,100.0,0.0,100.0,27.333333333333332,False
13163,0.0,100.0,0.0,100.0,7.933333333333332,False
13164,16.0,400.0,0.0,416.0,204.0,False
13165,218.0,800.0,0.0,1018.0,666.6,False
13166,23.0,400.0,0.0,423.0,240.73333333333335,False
131669551,0.0,0.0,0.0,0.0,0.0,False
13167,20.0,200.0,0.0,220.0,131.46666666666664,False
13201,0.0,0.0,0.0,0.0,0.0,False
13202,118.0,600.0,0.0,718.0,614.7,False
132023524,0.0,0.0,0.0,0.0,0.0,False
13203,527.0,600.0,0.0,1127.0,1066.3,False
13204,684.0,1200.0,103.3,1987.3,1987.3,False
132043290,0.0,0.0,0.0,0.0,0.0,False
132044113,0.0,0.0,0.0,0.0,0.0,False
13205,592.0,1400.0,0.0,1992.0,1586.9,False
13206,252.0,1300.0,0.0,1552.0,1314.2,False
13207,417.0,1200.0,0.0,1617.0,1109.7,False
13208,625.0,2000.0,0.0,2625.0,2470.5,False
13209,233.0,1200.0,0.0,1433.0,941.9,False
13210,173.0,1200.0,3.3333333333333335,1376.3333333333333,858.2,False
132102113,0.0,0.0,0.0,0.0,0.0,False
13211,76.0,400.0,0.0,476.0,459.1,False
13212,388.0,800.0,16.7,1204.7,1204.7,False
13214,362.0,100.0,45.0,507.0,440.26666666666665,False
132141320,0.0,0.0,0.0,0.0,0.0,False
13215,396.0,400.0,22.0,818.0,672.0,False
13217,0.0,0.0,0.0,0.0,0.0,False
13218,0.0,0.0,0.0,0.0,0.0,False
13219,242.0,800.0,37.99999999999994,1080.0,750.3999999999999,False
13220,0.0,0.0,0.0,0.0,0.0,False
13221,0.0,0.0,0.0,0.0,0.0,False
13224,459.0,0.0,43.0,502.0,502.0,False
132241836,0.0,0.0,0.0,0.0,0.0,False
13225,0.0,0.0,0.0,0.0,0.0,False
13235,0.0,0.0,0.0,0.0,0.0,False
13244,111.0,0.0,0.0,111.0,0.0,False
13250,0.0,0.0,0.0,0.0,0.0,False
13251,0.0,0.0,0.0,0.0,0.0,False
13252,0.0,0.0,0.0,0.0,0.0,False
13261,0.0,0.0,0.0,0.0,0.0,False
13290,0.0,0.0,0.0,0.0,0.0,False
13301,0.0,100.0,0.0,100.0,9.6,False
13302,0.0,200.0,0.0,200.0,118.1,False
13303,8.0,100.0,0.0,108.0,41.666666666666664,False
13304,24.0,200.0,0.0,224.0,108.53333333333333,False
13305,0.0,0.0,0.0,0.0,0.0,False
13308,0.0,400.0,0.0,400.0,322.2,False
13309,32.0,400.0,0.0,432.0,237.59999999999997,False
13310,0.0,100.0,0.0,100.0,20.0,False
13312,0.0,100.0,0.0,100.0,7.066666666666666,False
13313,0.0,100.0,0.0,100.0,26.066666666666666,False
13314,0.0,100.0,0.0,100.0,21.9,False
13315,38.0,100.0,0.0,138.0,75.39999999999999,False
13316,24.0,400.0,0.0,424.0,421.1,False
133161138,0.0,0.0,0.0,0.0,0.0,False
13317,24.0,500.0,0.0,524.0,451.6,False
13318,8.0,100.0,0.0,108.0,75.8,False
13319,8.0,0.0,0.0,8.0,7.5,False
13320,0.0,200.0,0.0,200.0,89.66666666666666,False
13321,16.0,100.0,0.0,116.0,40.599999999999994,False
13322,0.0,100.0,0.0,100.0,53.93333333333334,False
13323,288.0,100.0,25.333333333333332,413.3333333333333,338.5333333333333,False
13324,0.0,100.0,0.0,100.0,74.5,False
13325,0.0,200.0,0.0,200.0,79.7,False
13326,195.0,0.0,0.0,195.0,114.93333333333334,False
13327,8.0,300.0,0.0,308.0,218.4,False
13328,0.0,100.0,0.0,100.0,72.93333333333334,False
13329,26.0,300.0,0.0,326.0,260.8,False
13331,0.0,0.0,0.0,0.0,0.0,False
13332,8.0,600.0,0.0,608.0,394.3,False
13333,0.0,100.0,0.0,100.0,0.6666666666666666,False
13334,0.0,100.0,0.0,100.0,61.1,False
13335,0.0,200.0,0.0,200.0,117.5,False
13337,0.0,100.0,0.0,100.0,20.3,False
13338,8.0,100.0,0.0,108.0,89.6,False
13339,80.0,800.0,0.0,880.0,578.8,False
13340,72.0,500.0,0.6666666666666666,572.6666666666666,395.1333333333333,False
133404815,0.0,0.0,0.0,0.0,0.0,False
13341,0.0,0.0,0.0,0.0,0.0,False
13342,0.0,100.0,0.0,100.0,29.199999999999996,False
13343,16.0,100.0,0.0,116.0,72.06666666666666,False
13345,0.0,100.0,0.0,100.0,10.399999999999999,False
13346,146.0,100.0,0.0,246.0,189.0,False
13348,8.0,100.0,0.0,108.0,70.0,False
13350,135.0,400.0,0.0,535.0,424.2,False
13352,0.0,100.0,0.0,100.0,5.599999999999999,False
13353,0.0,100.0,0.0,100.0,2.333333333333333,False
13354,0.0,400.0,0.0,400.0,215.13333333333333,False
13355,8.0,200.0,0.0,208.0,77.5,False
133551143,0.0,0.0,0.0,0.0,0.0,False
13357,100.0,800.0,0.0,900.0,851.1,False
133571911,0.0,0.0,0.0,0.0,0.0,False
133572025,0.0,0.0,0.0,0.0,0.0,False
133572515,0.0,0.0,0.0,0.0,0.0,False
133574910,0.0,0.0,0.0,0.0,0.0,False
13360,0.0,100.0,0.0,100.0,4.8,False
13361,0.0,100.0,0.0,100.0,32.3,False
13362,0.0,0.0,0.0,0.0,0.0,False
13363,0.0,400.0,0.0,400.0,143.46666666666664,False
13364,0.0,100.0,0.0,100.0,1.0,False
13365,75.0,800.0,0.0,875.0,812.3,False
133651124,0.0,0.0,0.0,0.0,0.0,False
133651137,0.0,0.0,0.0,0.0,0.0,False
133651610,0.0,0.0,0.0,0.0,0.0,False
133651660,0.0,0.0,0.0,0.0,0.0,False
13367,261.0,400.0,0.0,661.0,384.73333333333335,False
13368,38.0,100.0,0.0,138.0,95.4,False
13401,0.0,0.0,0.0,0.0,0.0,False
13402,10.0,100.0,0.0,110.0,58.9,False
13403,136.0,600.0,0.0,736.0,299.3333333333333,False
13404,0.0,100.0,0.0,100.0,6.333333333333333,False
13406,0.0,100.0,0.0,100.0,46.2,False
13407,67.0,400.0,0.0,467.0,327.6,False
13408,89.0,100.0,0.0,189.0,143.7,False
13409,96.0,100.0,0.0,196.0,89.6,False
13410,0.0,100.0,0.0,100.0,7.333333333333333,False
13411,81.0,200.0,0.0,281.0,172.7,False
13413,374.0,400.0,0.0,774.0,668.3999999999999,False
13415,0.0,0.0,0.0,0.0,0.0,False
13416,16.0,200.0,0.0,216.0,119.86666666666667,False
13417,20.0,100.0,3.3333333333333335,123.33333333333333,105.3,False
13418,0.0,100.0,0.0,100.0,1.0,False
13420,41.0,0.0,0.0,41.0,11.0,False
13421,314.0,800.0,0.0,1114.0,952.4,False
134211318,0.0,0.0,0.0,0.0,0.0,False
134213907,0.0,0.0,0.0,0.0,0.0,False
13424,274.0,0.0,0.0,274.0,96.06666666666666,False
13425,0.0,200.0,0.0,200.0,113.19999999999999,False
13426,0.0,0.0,0.0,0.0,0.0,False
13428,0.0,100.0,0.0,100.0,81.7,False
13431,24.0,200.0,0.0,224.0,95.2,False
134312512,0.0,0.0,0.0,0.0,0.0,False
13433,0.0,200.0,0.0,200.0,196.4,False
13435,8.0,100.0,0.0,108.0,30.4,False
13436,0.0,100.0,0.0,100.0,2.0666666666666664,False
13437,0.0,100.0,0.0,100.0,14.2,False
13438,0.0,200.0,0.0,200.0,128.26666666666665,False
13439,15.0,400.0,0.0,415.0,280.5,False
13440,650.0,2800.0,29.999999999999773,3480.0,3006.5,False
134404304,0.0,0.0,0.0,0.0,0.0,False
13441,84.0,0.0,0.0,84.0,0.0,False
13442,0.0,0.0,0.0,0.0,0.0,False
13449,0.0,0.0,0.0,0.0,0.0,False
13450,0.0,100.0,0.0,100.0,19.8,False
13452,36.0,400.0,0.0,436.0,373.3,False
13454,0.0,100.0,0.0,100.0,36.9,False
13455,0.0,100.0,0.0,100.0,4.066666666666666,False
13456,16.0,400.0,0.0,416.0,260.73333333333335,False
13457,0.0,100.0,0.0,100.0,0.39999999999999997,False
13459,36.0,200.0,0.0,236.0,169.1,False
13460,56.0,400.0,0.0,456.0,345.5,False
13461,68.0,400.0,0.0,468.0,150.66666666666666,False
13464,0.0,100.0,0.0,100.0,96.3,False
13465,0.0,0.0,0.0,0.0,0.0,False
13468,0.0,100.0,0.0,100.0,17.8,False
13469,0.0,100.0,0.0,100.0,41.73333333333333,False
134691115,0.0,0.0,0.0,0.0,0.0,False
13470,0.0,100.0,0.0,100.0,46.5,False
13471,0.0,400.0,0.0,400.0,265.2,False
13472,0.0,200.0,0.0,200.0,35.199999999999996,False
13473,60.0,100.0,2.0,162.0,79.46666666666665,False
13475,0.0,100.0,0.0,100.0,1.0,False
13476,0.0,400.0,0.0,400.0,143.66666666666666,False
13477,0.0,100.0,0.0,100.0,80.6,False
13478,88.0,200.0,8.0,296.0,90.86666666666667,False
13479,0.0,0.0,0.0,0.0,0.0,False
13480,36.0,200.0,0.0,236.0,166.46666666666664,False
134801322,0.0,0.0,0.0,0.0,0.0,False
13482,0.0,100.0,0.0,100.0,2.6666666666666665,False
13483,0.0,100.0,0.0,100.0,39.5,False
13484,0.0,0.0,0.0,0.0,0.0,False
13485,0.0,200.0,0.0,200.0,162.0,False
13486,0.0,100.0,0.0,100.0,41.06666666666666,False
13488,0.0,0.0,0.0,0.0,0.0,False
13489,0.0,100.0,0.0,100.0,17.799999999999997,False
13490,94.0,0.0,0.0,94.0,72.86666666666666,False
13491,30.0,400.0,0.0,430.0,184.33333333333331,False
134911937,0.0,0.0,0.0,0.0,0.0,False
134912910,0.0,0.0,0.0,0.0,0.0,False
13492,246.0,400.0,27.999999999999975,674.0,515.8,False
13493,0.0,400.0,0.0,400.0,230.4,False
13494,0.0,100.0,0.0,100.0,9.5,False
13495,32.0,200.0,0.0,232.0,171.2,False
13501,1409.0,2400.0,30.2,3839.2,3839.2,False
135013728,0.0,0.0,0.0,0.0,0.0,False
135013918,0.0,0.0,0.0,0.0,0.0,False
13502,486.0,2400.0,91.00000000000001,2977.0,2720.1,False
13503,0.0,0.0,0.0,0.0,0.0,False
13504,0.0,0.0,0.0,0.0,0.0,False
13505,0.0,0.0,0.0,0.0,0.0,False
13599,0.0,0.0,0.0,0.0,0.0,False
13601,1947.0,2000.0,133.33333333333331,4080.3333333333335,3206.8,False
136011822,0.0,0.0,0.0,0.0,0.0,False
13602,0.0,0.0,0.0,0.0,0.0,False
13603,0.0,3700.0,0.0,3700.0,2522.1,False
13605,119.0,400.0,0.0,519.0,352.73333333333335,False
136053271,0.0,0.0,0.0,0.0,0.0,False
13606,77.0,100.0,13.0,190.0,129.6,False
13607,0.0,100.0,0.0,100.0,43.06666666666666,False
13608,50.0,200.0,0.0,250.0,138.8,False
13611,8.0,100.0,0.0,108.0,31.733333333333334,False
13612,36.0,200.0,0.0,236.0,112.33333333333333,False
13613,74.0,100.0,0.0,174.0,171.3,False
13614,0.0,100.0,0.0,100.0,28.0,False
13615,76.0,0.0,8.0,84.0,12.0,False
13616,84.0,100.0,0.0,184.0,63.5,False
13617,259.0,400.0,5.0,664.0,397.19999999999993,False
13618,0.0,200.0,0.0,200.0,92.53333333333333,False
13619,463.0,800.0,0.0,1263.0,806.9,False
13620,126.0,200.0,8.333333333333334,334.3333333333333,239.89999999999998,False
13621,0.0,200.0,0.0,200.0,80.5,False
13622,8.0,200.0,0.0,208.0,122.06666666666666,False
13623,0.0,100.0,0.0,100.0,1.3333333333333333,False
13624,62.0,400.0,0.0,462.0,147.66666666666666,False
13625,198.0,0.0,38.666666666666664,236.66666666666666,82.6,False
13626,133.0,200.0,0.0,333.0,101.73333333333332,False
13627,0.0,0.0,0.0,0.0,0.0,False
13628,0.0,100.0,0.0,100.0,30.866666666666664,False
13630,240.0,0.0,18.0,258.0,79.19999999999999,False
13631,0.0,0.0,0.0,0.0,0.0,False
13632,0.0,0.0,0.0,0.0,0.0,False
13633,0.0,100.0,0.0,100.0,40.8,False
13634,41.0,200.0,0.0,241.0,206.79999999999998,False
13635,0.0,200.0,0.0,200.0,117.1,False
13636,0.0,100.0,0.0,100.0,25.0,False
13637,187.0,600.0,0.0,787.0,447.2,False
13638,0.0,100.0,0.0,100.0,37.199999999999996,False
13639,0.0,0.0,0.0,0.0,0.0,False
