zip,new_small,new_medium,new_large,expansion_slots,new_u5_slots,supply_total,requirement,u5_req,u5_exist
14129,1,0,0,0,30,100,81.5,29.333333333333332,0.0
14130,1,0,0,0,0,100,6.933333333333334,0.0,0.0
14131,0,0,0,0,0,210,201.2,137.33333333333331,150.0
14132,0,1,0,58,83,359,358.5333333333333,134.0,51.0
14134,1,0,0,0,4,100,5.5,4.0,0.0
14135,1,0,0,0,0,100,3.8,0.0,0.0
14136,0,0,1,0,156,416,301.0,156.0,0.0
14138,1,0,0,0,30,166,141.7,55.33333333333333,26.0
14139,0,1,0,0,90,200,162.46666666666664,89.33333333333333,0.0
14141,0,0,0,0,0,465,401.4,264.66666666666663,402.0
14143,1,0,0,0,33,100,96.0,32.666666666666664,0.0
14145,1,0,0,21,71,153,76.4,70.66666666666666,0.0
14150,0,0,0,130,126,1623,1622.8666666666668,1116.0,990.0
14166,0,0,0,0,0,0,0.0,0.0,0.0
14167,0,1,0,0,88,200,85.79999999999998,88.0,0.0
14168,0,0,0,0,0,0,0.0,0.0,0.0
14169,0,0,0,0,0,0,0.0,0.0,0.0
14170,0,1,0,0,54,200,127.2,53.33333333333333,0.0
14171,0,0,0,30,30,70,58.53333333333333,50.0,20.0
14172,0,1,0,0,84,216,134.39999999999998,84.0,0.0
14173,0,0,0,0,0,40,5.799999999999999,0.0,0.0
14174,0,0,0,54,26,268,267.3333333333333,190.0,164.0
14201,0,0,0,483,224,1079,1078.9,506.0,282.0
14202,0,0,0,21,21,274,127.26666666666667,95.33333333333333,75.0
14203,0,0,0,0,0,230,66.8,42.666666666666664,210.0
14204,0,0,0,237,237,647,521.9,312.66666666666663,76.0
14206,0,0,3,42,461,1550,1549.5,622.6666666666666,162.0
14207,0,0,3,690,700,2720,2719.5,1068.6666666666665,369.0
14208,0,0,0,312,312,779,723.4,467.3333333333333,156.0
14209,0,0,0,0,0,542,222.86666666666667,188.66666666666666,292.0
14210,0,0,0,292,6,1116,1115.8,528.6666666666666,523.0
14211,0,0,5,184,1106,2728,2727.7,1248.0,142.0
14212,0,0,2,309,501,1399,1398.5,718.0,217.0
14213,0,0,4,382,1182,2460,2443.4,1358.0,176.0
14214,0,0,1,472,468,1493,1492.9,744.6666666666666,277.0
14215,0,0,5,912,1727,3945,3944.7,1995.3333333333333,269.0
14216,0,0,3,293,893,1831,1011.3999999999999,1088.0,195.0
14217,0,0,1,183,243,984,983.6,576.6666666666666,334.0
14218,0,0,2,309,666,1745,1744.5,1097.3333333333333,432.0
14219,0,0,1,0,145,579,531.9,225.33333333333331,81.0
14220,0,0,3,112,630,1719,1719.0,897.3333333333333,268.0
14221,0,0,0,923,923,3237,2525.6,2075.333333333333,1153.0
14222,0,0,1,218,418,819,520.8,618.6666666666666,201.0
14223,0,0,1,354,554,1181,924.1999999999999,818.6666666666666,265.0
14224,0,0,1,508,708,1671,1648.6666666666665,1302.0,594.0
14225,0,0,2,699,518,2254,2253.5,977.3333333333333,460.0
14226,0,0,0,462,462,1464,1444.3333333333333,990.6666666666666,529.0
14227,0,0,1,404,367,1225,1224.7,705.3333333333333,339.0
14228,0,0,0,342,252,1136,1135.7333333333331,823.3333333333333,572.0
14260,0,0,0,0,0,192,0.0,0.0,172.0
14261,0,0,0,0,0,0,0.0,0.0,0.0
14301,0,0,1,74,274,812,787.3,443.3333333333333,170.0
14302,0,0,0,0,0,0,0.0,0.0,0.0
14303,1,0,1,89,312,700,699.7,322.0,10.0
14304,0,0,1,663,373,1930,1929.3,824.0,451.0
14305,0,0,1,353,553,1343,1280.0,601.3333333333333,49.0
14411,0,0,1,34,94,574,573.1,181.33333333333331,88.0
14413,0,0,0,0,0,0,0.0,0.0,0.0
14414,1,0,0,82,132,313,300.73333333333335,197.33333333333331,66.0
14415,1,0,0,0,5,100,9.266666666666666,4.666666666666666,0.0
14416,1,0,0,61,111,241,167.66666666666666,146.66666666666666,36.0
14418,0,1,0,0,64,200,73.33333333333333,64.0,0.0
14420,0,0,0,362,295,816,815.5333333333333,606.0,311.0
14422,0,1,0,0,94,200,154.5,93.33333333333333,0.0
14423,1,0,0,90,140,306,244.4,184.0,44.0
14424,0,0,1,336,536,1078,1030.1999999999998,656.0,120.0
14425,0,0,3,4,604,1252,812.8,603.3333333333333,0.0
14427,0,1,0,0,51,200,119.6,50.666666666666664,0.0
14432,0,0,0,42,39,363,362.4,192.66666666666666,154.0
14433,1,0,1,10,260,543,464.5,276.66666666666663,17.0
